wallet,num_tx_erc20,num_in_tx_erc20,num_distinct_tokens_in,num_distinct_wallets_in_erc20,num_distinct_blocks_in_erc20,num_out_tx_erc20,num_distinct_tokens_out,num_distinct_wallets_out_erc20,num_distinct_blocks_out_erc20,min_block_number_in_erc20,max_block_number_in_erc20,min_block_number_out_erc20,max_block_number_out_erc20,num_tx_eth,balance_eth,num_in_tx,num_distinct_wallets_in,vol_in,mean_in,min_in,max_in,num_distinct_blocks_in,num_out_tx,num_distinct_wallets_out,vol_out,mean_out,min_out,max_out,num_distinct_blocks_out,min_block_number_in_eth,max_block_number_in_eth,min_block_number_out_eth,max_block_number_out_eth,is_scam
0x280efebba02ac4f5b385c8685eba01edfb31d93d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,102.07724873,3.0,3.0,51.039840000000005,17.013279999999998,0.0151,51.0,3.0,4.0,4.0,51.03740873,12.7593521825,0.013865,49.97953798,4.0,4012462.0,6740102.0,4012545.0,6740139.0,0.0
0x33418425908cf4ad330f131d23160b3340655fb7,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,4241258.0,4439264.0,0.0,0.0,3.0,0.31604259999999995,2.0,2.0,0.16004259999999998,0.08002129999999999,0.0603026,0.09974,2.0,1.0,1.0,0.156,0.156,0.156,0.156,1.0,4223291.0,4223320.0,4223353.0,4223353.0,0.0
0x7d740879d042deaccdd28992e821ca8d970fde13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,201.99874,2.0,2.0,101.0,50.5,16.681078698481898,84.3189213015181,1.0,3.0,3.0,100.99874,33.666246666666666,0.93686,72.03451200835597,3.0,5031648.0,5031648.0,5031662.0,5031679.0,0.0
0x861518baca9a23da155f033af55e4dd478079fe4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,46.472005,4.0,2.0,23.236705,5.80917625,2.5467049999999998,10.0,4.0,3.0,1.0,23.2353,7.745099999999999,2.5463,17.6895,3.0,6449996.0,6517850.0,6456715.0,6524534.0,0.0
0x16165fc403e837facad50ad47473374d6bdcdad9,76.0,76.0,68.0,51.0,76.0,0.0,0.0,0.0,0.0,5881383.0,6031764.0,0.0,0.0,20.0,1006.637145331121,10.0,5.0,503.31913013,50.331913013000005,8.192,148.89,10.0,10.0,1.0,503.318015201121,50.3318015201121,8.191973574996004,148.8895487912,10.0,5790487.0,5852127.0,5790498.0,5852166.0,0.0
0xcd9148f553375236afb11419137ec14a389a5198,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5732210.0,5732210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xcef57a4013da46f81c3093e416b0028792ac2ca2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4711205.0,4711205.0,4711238.0,4711238.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4711238.0,4711238.0,0.0,0.0,0.0
0x6156b04a761c7d78b855d1e918c7322db683347b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.91868,1.0,1.0,2.46234,2.46234,2.46234,2.46234,1.0,1.0,1.0,2.45634,2.45634,2.45634,2.45634,1.0,5852376.0,5852376.0,5852381.0,5852381.0,0.0
0x0bdc63cf6392fd294217aef3e6130132f7152c6d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.1995000000000005,1.0,1.0,3.6,3.6,3.6,3.6,1.0,1.0,1.0,3.5995,3.5995,3.5995,3.5995,1.0,6942137.0,6942137.0,6949444.0,6949444.0,0.0
0x36f0708a9601a1da43925fe0c2454a863893a4f6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.39516118,1.0,1.0,0.2,0.2,0.2,0.2,1.0,3.0,1.0,0.19516118,0.06505372666666667,4e-05,0.1945,3.0,5917256.0,5917256.0,5917459.0,6023903.0,0.0
0x06e11fbe95ef78b731ca61945cf8edb04c6f155e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.93705976,3.0,1.0,0.9729818799999999,0.3243272933333333,0.26098188,0.42100000000000004,3.0,3.0,1.0,0.96407788,0.3213592933333333,0.25762188,0.41763999999999996,3.0,4894764.0,4915995.0,4894785.0,4916007.0,0.0
0x19ed4acf11ae22b030bb09dea2a983bdd0473a3a,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6091967.0,6091967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x14eec136bdf0d2a695f4919d3e819286b1267fbc,31.0,26.0,11.0,12.0,26.0,5.0,3.0,5.0,5.0,4300132.0,6995271.0,4333931.0,5566681.0,20.0,19.6108557,6.0,5.0,9.812855699999998,1.63547595,0.0132757,3.0,6.0,14.0,8.0,9.798,0.699857142857143,0.0,4.5,14.0,4333893.0,5024123.0,4333931.0,5566681.0,0.0
0xd1f04ce609327ce26c0a99c05aec7de1eb5173af,9.0,4.0,1.0,2.0,4.0,5.0,1.0,4.0,5.0,6395736.0,6941998.0,6436796.0,6942034.0,9.0,4.097512,1.0,1.0,2.085,2.085,2.085,2.085,1.0,8.0,4.0,2.012512,0.25156399999999995,0.0,2.001512,8.0,6354032.0,6354032.0,6354819.0,6942034.0,0.0
0x9b68466379557161e0963fc39e190b03a4a4b7df,9.0,6.0,6.0,6.0,6.0,3.0,2.0,3.0,3.0,4301878.0,4473065.0,4328757.0,4416090.0,15.0,2.554886798,8.0,4.0,1.27925929,0.15990741125000002,0.01907884,0.76238824,8.0,7.0,6.0,1.275627508,0.18223250114285716,0.0,1.0373129,7.0,4301676.0,4416058.0,4321547.0,4416141.0,0.0
0x094e8ed909fc428a37a307219651d5ac4d7615f7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,54.09030284,1.0,1.0,27.04524592,27.04524592,27.04524592,27.04524592,1.0,1.0,1.0,27.04505692,27.04505692,27.04505692,27.04505692,1.0,6649803.0,6649803.0,6649811.0,6649811.0,0.0
0x663944b266ef3ab27c56593c719c1b3f39bfe663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.228584,1.0,1.0,0.11450199999999999,0.11450199999999999,0.11450199999999999,0.11450199999999999,1.0,1.0,1.0,0.11408199999999999,0.11408199999999999,0.11408199999999999,0.11408199999999999,1.0,4158248.0,4158248.0,4158269.0,4158269.0,0.0
0xc74c71076a54d6b502f87a161d721eae58122907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.1740000000000004,1.0,1.0,1.09,1.09,1.09,1.09,1.0,1.0,1.0,1.084,1.084,1.084,1.084,1.0,4862156.0,4862156.0,4913308.0,4913308.0,0.0
0x405850856a6c3c8f70fd04a59dcf05010edc30d9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.16715266,1.0,1.0,0.58366033,0.58366033,0.58366033,0.58366033,1.0,1.0,1.0,0.58349233,0.58349233,0.58349233,0.58349233,1.0,6670325.0,6670325.0,6670330.0,6670330.0,0.0
0x5e8e557836bf51d9dbbb203a03a92313d634daea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.19840500199975306,1.0,1.0,0.09941250099987901,0.09941250099987901,0.09941250099987901,0.09941250099987901,1.0,1.0,1.0,0.098992500999874,0.098992500999874,0.098992500999874,0.098992500999874,1.0,4274239.0,4274239.0,4274246.0,4274246.0,0.0
0x7e4b76bf5df70df8c2db9f09e20291f62a1944b9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.34807206,1.0,1.0,0.17424603,0.17424603,0.17424603,0.17424603,1.0,1.0,1.0,0.17382603,0.17382603,0.17382603,0.17382603,1.0,5173102.0,5173102.0,5173107.0,5173107.0,0.0
0xa1ca851a064cc1bf584679f40a288697a06897ff,7.0,4.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0,6606845.0,6735017.0,6606852.0,6676849.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6606852.0,6676849.0,0.0,0.0,0.0
0x521b3456aa36b9a9f4974056e1eda9318bd8e980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,201.99663999999999,2.0,2.0,101.0,50.5,50.180518396641475,50.81948160335853,2.0,4.0,4.0,100.99664,25.24916,0.0019199999999999998,64.25203490874243,4.0,4769172.0,4769186.0,4769199.0,4769221.0,0.0
